osm_id,repr_road,lon,lat
207525191,207525191,-15.5353985,14.10454
207745155,207745155,-13.6769085,13.771062
218820037,218820037,-13.772822,13.020959
218821320,218821320,-13.765055,13.150628
219017754,219017754,-16.738827,12.387782
219107732,219107732,-16.68871,12.361158
224481372,224481372,-13.669815,13.775661
225083501,225083501,-16.756168,12.900332
229205870,229205870,-16.674648,13.038113
230134203,230134203,-13.4806185,15.854658
237521454,237521454,-16.483654,12.968538
245540380,245540380,-16.765316,13.989785
252659845,252659845,-12.353826,14.395261
254115574,254115574,-15.777062,13.743583
261902020,261902020,-16.0624,13.662082
273210596,273210596,-15.714621,13.004602
286636831,286636831,-14.561388,13.975435
312989628,312989628,-15.224962,16.536728
321803642,321803642,-13.959681,15.29836
331502131,331502131,-14.943888,12.880347
333518407,333518407,-13.556647,12.709356
340319202,340319202,-14.635715,16.387314
340947099,340947099,-15.977684,13.16638
341786884,341786884,-16.754221,12.911184
359616370,359616370,-15.715149,15.421134
373003215,373003215,-13.643772,12.929793
373869146,373869146,-14.06817,12.846116
381870893,381870893,-14.302015,13.935385
405026297,405026297,-12.453367,14.409226
448039479,448039479,-15.583503,13.63071
533809420,533809420,-16.772758,14.79527
576890034,576890034,-13.977259,16.087124
685352964,685352964,-13.427564,13.439281
849623942,849623942,-12.214928,14.4577
915681678,915681678,-14.567857,13.94624
1065852184,1065852184,-16.00235,12.917617
8111731,8111731,29.28019,-3.15444
8111787,8111787,29.347258,-3.3789258
8598248,8598248,29.367517,-3.3618124
27448498,27448498,30.140215,-3.09012
29624591,29624591,29.352964,-3.4142313
33596022,33596022,29.09878,-2.8495967
34141071,34141071,29.559893,-2.920011
150395694,150395694,29.765644,-4.439624
150575605,150575605,29.91128,-3.0840716
151266737,151266737,30.21969,-2.8536677
156924697,156924697,30.128418,-4.020344
301661266,301661266,29.796846,-4.0843086
319326823,319326823,29.149122,-2.729704
23121312,23121312,14.547369,5.8951674
23121315,23121315,14.859247,5.8029013
23272692,23272692,17.096987,5.2572637
23272693,23272693,17.477633,5.2400436
23274922,23274922,19.078823,5.7233915
